Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
58;0.00;6777.00;0.30;0.00;-0.01;-1.04;0.01
59;0.00;6863.00;0.23;0.04;-0.01;-1.04;0.01
60;0.00;6949.00;0.34;0.08;-0.01;-1.04;0.01
61;0.00;7035.00;0.46;0.12;-0.01;-1.04;0.01
62;0.00;7121.00;0.35;0.12;-0.01;-1.04;0.01
63;0.00;7207.00;0.32;0.12;-0.01;-1.05;0.01
64;0.00;7293.00;0.38;0.12;-0.01;-1.04;0.01
65;0.00;7380.00;0.43;0.12;-0.01;-1.04;0.01
66;0.00;7467.00;0.47;0.12;-0.00;-1.04;0.01
67;0.00;7553.00;0.46;0.12;-0.01;-1.04;0.02
68;0.00;7639.00;0.45;0.12;-0.01;-1.04;0.01
69;0.00;7725.00;0.35;0.12;-0.01;-1.04;0.01
70;0.00;7811.00;0.28;0.12;-0.01;-1.04;0.01
71;0.00;7897.00;0.34;0.12;-0.01;-1.05;0.02
72;0.00;7983.00;0.19;0.12;-0.01;-1.04;0.02
73;0.00;8069.00;0.29;0.12;-0.01;-1.04;0.02
74;0.00;8155.00;0.36;0.12;-0.01;-1.04;0.01
75;0.00;8242.00;0.52;0.12;-0.01;-1.04;0.02
76;0.00;8328.00;0.40;0.08;-0.01;-1.04;0.01
77;0.00;8414.00;0.40;0.08;-0.01;-1.04;0.01
78;0.00;8500.00;0.28;0.08;-0.01;-1.04;0.01
79;19.00;8586.00;0.34;0.73;0.01;-1.04;0.10
80;21.00;8672.00;2.01;1.70;0.05;-0.97;0.05
81;23.00;8758.00;16.63;2.40;0.25;-0.19;0.10
82;25.00;8844.00;62.51;2.40;0.21;-0.91;0.18
83;27.00;8930.00;112.83;2.31;0.21;-0.85;0.00
84;29.00;9016.00;140.52;2.48;0.42;-0.62;0.09
85;31.00;9103.00;159.84;3.05;-0.63;-1.45;0.10
86;33.00;9189.00;177.68;3.33;-0.44;-1.07;0.05
87;35.00;9275.00;198.39;3.70;-0.03;-1.56;0.08
88;37.00;9361.00;219.97;3.98;-0.92;-0.70;0.04
89;39.00;9447.00;240.64;4.43;-1.21;-0.85;0.03
90;41.00;9533.00;259.63;5.12;1.12;-1.26;0.01
91;43.00;9619.00;279.95;5.85;0.06;-1.43;0.02
92;45.00;9705.00;301.37;6.34;1.06;-1.49;0.04
93;47.00;9791.00;322.72;7.24;-1.01;-0.74;0.02
94;49.00;9877.00;345.93;7.85;-0.04;-1.26;0.01
95;51.00;9963.00;367.90;8.58;-0.70;-1.26;0.00
96;53.00;10050.00;388.53;8.50;-1.47;-1.52;0.02
97;55.00;10136.00;396.31;8.58;-1.37;-0.95;0.00
98;179.00;10222.00;397.18;8.38;-0.65;-0.47;0.02
99;179.00;10308.00;397.62;8.70;0.40;-0.53;0.02
100;179.00;10394.00;397.59;8.58;1.18;-0.69;0.00
101;179.00;10480.00;398.10;9.11;1.64;-1.01;0.06
102;179.00;10566.00;398.27;8.82;1.01;-1.39;0.14
103;179.00;10652.00;397.65;8.78;0.20;-1.58;0.05
104;179.00;10738.00;398.31;8.50;-0.61;-1.43;0.10
105;179.00;10824.00;397.95;8.62;-1.12;-1.30;0.03
106;179.00;10911.00;398.27;9.03;-1.47;-1.06;0.09
107;179.00;10997.00;397.70;9.03;-1.18;-0.94;0.09
108;179.00;11083.00;399.01;8.99;-0.31;-0.48;0.05
109;179.00;11169.00;399.63;8.99;0.59;-0.19;0.13
110;179.00;11255.00;398.29;9.07;1.30;-0.81;0.05
111;179.00;11341.00;398.82;9.07;1.65;-0.95;0.08
112;179.00;11427.00;399.44;8.58;1.35;-1.10;0.03
113;179.00;11513.00;398.46;8.38;0.83;-1.23;0.10
114;179.00;11599.00;398.15;8.54;-0.18;-1.46;0.01
115;179.00;11685.00;398.92;9.03;-0.65;-1.08;0.08
116;179.00;11771.00;398.87;8.87;-1.30;-1.37;0.10
117;179.00;11858.00;398.53;8.99;-1.58;-0.90;0.10
118;179.00;11944.00;398.42;8.66;-1.54;-1.05;0.09
119;179.00;12030.00;398.81;8.66;-0.88;-0.81;0.02
120;55.00;12116.00;399.92;8.46;-0.33;-0.53;0.00
121;53.00;12203.00;399.22;8.62;0.30;-0.40;0.00
122;51.00;12289.00;399.46;8.78;0.90;-0.90;0.02
123;49.00;12375.00;399.16;9.03;1.30;-1.01;0.12
124;47.00;12461.00;400.19;8.70;0.38;-1.55;0.09
125;45.00;12547.00;394.49;8.46;-0.19;-1.29;0.03
126;43.00;12633.00;369.96;7.32;-1.03;-0.59;0.04
127;41.00;12720.00;343.52;6.46;0.81;-0.68;0.05
128;39.00;12806.00;322.04;5.33;-0.03;-1.36;0.01
129;37.00;12892.00;300.99;4.96;-0.02;-1.46;0.02
130;35.00;12978.00;275.74;4.23;-0.93;-1.15;0.07
131;33.00;13064.00;255.29;4.06;0.83;-1.37;0.07
132;31.00;13150.00;233.08;3.21;0.83;-1.33;0.15
133;29.00;13236.00;209.59;3.05;-0.89;-1.10;0.10
134;27.00;13322.00;190.96;2.52;0.26;-1.60;0.10
135;25.00;13408.00;173.61;2.31;-0.35;-1.48;0.04
136;23.00;13494.00;155.56;1.99;0.20;-0.58;0.01
137;21.00;13580.00;136.32;1.70;0.31;-0.49;0.10
138;19.00;13667.00;120.03;1.34;-0.07;-0.97;0.00
139;0.00;13753.00;105.15;0.77;-0.15;-1.18;0.02
140;0.00;13839.00;84.08;0.36;-0.03;-1.01;0.06
141;0.00;14011.00;32.60;0.16;0.14;-1.00;0.07
142;0.00;14097.00;20.29;0.16;-0.04;-1.04;0.02
143;0.00;14183.00;12.84;0.16;0.06;-1.03;0.12
144;0.00;14269.00;8.83;0.12;0.09;-1.03;0.10
145;0.00;14355.00;5.54;0.12;-0.14;-1.06;0.01
146;0.00;14441.00;3.27;0.12;-0.00;-1.05;0.02
147;0.00;14527.00;1.59;0.16;0.03;-1.02;0.02
148;0.00;14614.00;0.44;0.16;-0.03;-1.03;0.05
149;0.00;14700.00;-0.50;0.16;-0.02;-1.05;0.03
150;0.00;14786.00;-1.11;0.12;0.00;-1.03;0.01
151;0.00;14872.00;-1.52;0.12;-0.01;-1.03;0.04
152;0.00;14958.00;-1.85;0.12;-0.01;-1.04;0.00
153;0.00;15044.00;-2.10;0.12;-0.01;-1.05;0.04
154;0.00;15130.00;-2.37;0.12;-0.01;-1.04;0.03
155;0.00;15216.00;-2.50;0.12;-0.01;-1.04;0.00
156;0.00;15302.00;-2.69;0.12;-0.01;-1.04;0.01
157;0.00;15388.00;-2.59;0.12;-0.01;-1.04;0.03
158;0.00;15474.00;-2.57;0.12;-0.01;-1.04;0.03
159;0.00;15561.00;-2.79;0.12;-0.01;-1.04;0.01
160;0.00;15647.00;-2.70;0.12;-0.01;-1.04;0.01
161;0.00;15733.00;-2.44;0.12;-0.01;-1.04;0.01
162;0.00;15819.00;-2.64;0.12;-0.01;-1.04;0.02
163;0.00;15905.00;-2.71;0.12;-0.01;-1.04;0.02
164;0.00;15991.00;-2.83;0.12;-0.01;-1.04;0.02
165;0.00;16077.00;-2.72;0.12;-0.00;-1.04;0.00
166;0.00;16163.00;-2.50;0.12;-0.01;-1.04;0.01
167;0.00;16249.00;-2.81;0.12;-0.01;-1.04;0.02
168;0.00;16335.00;-2.84;0.12;-0.01;-1.04;0.02
169;0.00;16421.00;-2.90;0.12;-0.00;-1.04;0.01
170;0.00;16508.00;-2.97;0.12;-0.01;-1.04;0.01
171;0.00;16594.00;-2.92;0.12;-0.01;-1.04;0.01
172;0.00;16680.00;-2.61;0.12;-0.01;-1.04;0.01
173;0.00;16766.00;-2.58;0.12;-0.01;-1.04;0.01
174;0.00;16852.00;-2.55;0.12;-0.01;-1.04;0.01
