Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
40;0.00;5438.00;0.55;0.12;-0.01;-1.04;0.01
41;0.00;5524.00;0.60;0.12;-0.01;-1.04;0.01
42;0.00;5610.00;0.81;0.12;-0.01;-1.05;0.02
43;0.00;5696.00;0.54;0.16;-0.01;-1.04;0.02
44;0.00;5783.00;0.46;0.16;-0.01;-1.04;0.02
45;0.00;5869.00;0.51;0.16;-0.01;-1.04;0.02
46;0.00;5955.00;0.49;0.12;-0.01;-1.04;0.02
47;0.00;6041.00;0.45;0.12;-0.01;-1.04;0.01
48;0.00;6127.00;0.51;0.12;-0.01;-1.04;0.01
49;0.00;6213.00;0.51;0.12;-0.00;-1.03;0.01
50;0.00;6299.00;0.52;0.12;-0.01;-1.04;0.01
51;0.00;6385.00;0.55;0.12;-0.01;-1.04;0.01
52;0.00;6471.00;0.54;0.12;-0.00;-1.04;0.01
53;0.00;6557.00;0.57;0.12;-0.01;-1.04;0.01
54;0.00;6644.00;0.51;0.12;-0.01;-1.04;0.01
55;0.00;6730.00;0.56;0.12;-0.01;-1.04;0.02
56;0.00;6816.00;0.57;0.12;-0.01;-1.04;0.01
57;0.00;6902.00;0.51;0.12;-0.01;-1.04;0.02
58;0.00;6988.00;0.68;0.12;-0.01;-1.04;0.02
59;0.00;7074.00;0.68;0.12;-0.01;-1.04;0.02
60;0.00;7160.00;0.59;0.12;-0.00;-1.04;0.01
61;0.00;7246.00;0.51;0.12;-0.01;-1.04;0.01
62;0.00;7332.00;0.54;0.12;-0.01;-1.04;0.01
63;0.00;7418.00;0.37;0.12;-0.01;-1.04;0.01
64;0.00;7504.00;0.23;0.12;-0.01;-1.03;0.01
65;0.00;7591.00;0.34;0.12;-0.01;-1.04;0.02
66;0.00;7677.00;0.67;0.12;-0.01;-1.03;0.01
67;0.00;7763.00;0.55;0.12;-0.01;-1.04;0.01
68;0.00;7849.00;0.59;0.12;-0.01;-1.04;0.01
69;0.00;7936.00;0.61;0.12;-0.01;-1.04;0.02
70;0.00;8022.00;0.54;0.12;-0.01;-1.04;0.01
71;0.00;8108.00;0.61;0.12;-0.01;-1.04;0.02
72;0.00;8194.00;0.65;0.12;-0.01;-1.04;0.02
73;0.00;8280.00;0.63;0.12;-0.01;-1.04;0.01
74;0.00;8366.00;0.70;0.12;-0.01;-1.04;0.01
75;0.00;8452.00;0.49;0.12;-0.01;-1.04;0.01
76;0.00;8539.00;0.54;0.12;-0.01;-1.04;0.01
77;0.00;8625.00;0.57;0.12;-0.01;-1.05;0.02
78;0.00;8711.00;0.54;0.12;-0.01;-1.04;0.02
79;40.00;8797.00;0.54;0.40;0.00;-0.97;0.08
80;45.00;8883.00;2.45;1.83;0.21;-0.89;0.06
81;50.00;8969.00;18.80;2.76;0.30;-0.71;0.31
82;55.00;9055.00;77.25;3.37;0.15;-0.54;0.01
83;60.00;9141.00;148.33;3.05;0.48;-0.76;0.00
84;65.00;9227.00;189.08;3.54;-0.41;-0.82;0.09
85;70.00;9313.00;220.99;4.23;0.27;-0.69;0.03
86;75.00;9400.00;248.73;5.04;-1.26;-1.04;0.00
87;80.00;9486.00;276.05;5.77;-1.35;-0.98;0.05
88;85.00;9572.00;307.55;6.63;0.88;-1.24;0.07
89;90.00;9658.00;340.13;8.05;-0.44;-0.86;0.05
90;95.00;9744.00;374.74;8.70;1.02;-0.85;0.06
91;100.00;9830.00;403.76;9.27;1.55;-0.96;0.01
92;105.00;9916.00;411.66;8.87;1.35;-1.43;0.01
93;110.00;10002.00;411.11;9.15;0.57;-1.23;0.04
94;115.00;10088.00;411.19;9.03;-0.75;-1.09;0.10
95;120.00;10174.00;410.46;8.91;-1.39;-0.95;0.00
96;125.00;10261.00;410.16;8.78;-1.65;-0.92;0.03
97;130.00;10347.00;409.50;8.78;-1.17;-0.87;0.05
98;135.00;10433.00;409.50;9.07;-0.20;-0.74;0.07
99;140.00;10519.00;411.06;8.82;1.13;-0.68;0.04
100;140.00;10605.00;410.62;8.66;1.62;-0.87;0.05
101;135.00;10691.00;409.09;8.38;1.51;-1.13;0.10
102;130.00;10777.00;409.10;8.50;0.97;-1.18;0.04
103;125.00;10863.00;409.13;8.82;-0.21;-1.41;0.08
104;120.00;10949.00;410.27;9.07;-1.00;-1.28;0.02
105;115.00;11035.00;409.25;9.19;-1.43;-1.01;0.03
106;110.00;11121.00;408.23;8.87;-1.64;-0.99;0.18
107;105.00;11208.00;407.87;8.78;-1.42;-1.18;0.00
108;100.00;11294.00;407.04;8.46;-0.85;-0.53;0.04
109;95.00;11380.00;407.01;8.74;-0.09;-0.86;0.18
110;90.00;11466.00;406.55;8.78;1.23;-0.66;0.08
111;85.00;11552.00;406.68;8.78;-0.06;-1.54;0.05
112;80.00;11638.00;399.95;7.73;0.67;-0.76;0.11
113;75.00;11724.00;373.72;6.67;1.00;-1.10;0.07
114;70.00;11810.00;339.35;5.53;-1.01;-0.70;0.00
115;65.00;11896.00;305.61;4.67;-0.83;-0.94;0.00
116;60.00;11982.00;271.36;3.78;0.71;-1.47;0.11
117;55.00;12068.00;239.41;3.09;0.46;-1.56;0.17
118;50.00;12155.00;212.04;2.68;0.16;-0.30;0.17
119;45.00;12241.00;186.66;2.23;0.17;-0.66;0.00
120;40.00;12327.00;160.86;1.87;0.09;-1.12;0.00
121;0.00;12413.00;136.22;1.18;0.07;-1.07;0.29
122;0.00;12499.00;109.78;0.56;0.10;-1.05;0.04
123;0.00;12585.00;71.09;0.12;-0.03;-1.03;0.07
124;0.00;12672.00;40.90;0.12;0.06;-1.06;0.05
125;0.00;12758.00;24.39;0.12;-0.10;-1.07;0.06
126;0.00;12844.00;14.86;0.12;-0.06;-1.06;0.08
127;0.00;12930.00;9.15;0.12;-0.07;-1.05;0.01
128;0.00;13017.00;5.60;0.12;0.09;-1.04;0.07
129;0.00;13103.00;3.33;0.12;-0.02;-1.03;0.04
130;0.00;13189.00;1.79;0.12;-0.06;-1.04;0.00
131;0.00;13275.00;0.60;0.12;0.01;-1.04;0.01
132;0.00;13361.00;-0.45;0.12;0.00;-1.04;0.02
133;0.00;13447.00;-1.19;0.12;-0.03;-1.03;0.04
134;0.00;13533.00;-1.56;0.12;-0.00;-1.04;0.05
135;0.00;13619.00;-2.02;0.12;0.00;-1.03;0.02
136;0.00;13705.00;-2.21;0.12;-0.01;-1.03;0.03
137;0.00;13791.00;-2.34;0.12;-0.01;-1.05;0.07
138;0.00;13877.00;-2.46;0.12;-0.01;-1.04;0.06
139;0.00;13964.00;-2.68;0.12;-0.00;-1.04;0.00
140;0.00;14050.00;-2.63;0.12;-0.00;-1.04;0.01
141;0.00;14136.00;-2.58;0.12;-0.01;-1.04;0.00
142;0.00;14222.00;-2.44;0.12;-0.01;-1.04;0.01
143;0.00;14308.00;-2.38;0.12;-0.01;-1.04;0.02
144;0.00;14394.00;-2.37;0.12;-0.01;-1.04;0.02
145;0.00;14480.00;-2.55;0.12;-0.01;-1.04;0.01
146;0.00;14566.00;-2.43;0.12;-0.01;-1.05;0.02
147;0.00;14652.00;-2.36;0.12;-0.01;-1.04;0.02
